number,date,strategy,side,instrument,open,close,profit,result,max_profit,max_lose
33360,2023-06-25 03:00:16,sor_120,BUY,DOTUSDT,4.673,5.071,42.2250631286111,1,498.6,-26.75
33361,2023-06-25 03:00:19,so_120,SELL,EOSUSDT,0.648,0.727,-61.3167901234568,0,7.7,-871.9
33362,2023-06-25 03:00:24,sor_120,BUY,EOSUSDT,0.648,0.727,60.5967901234568,1,871.9,-7.7
33363,2023-06-25 03:00:26,so_120,SELL,LTCUSDT,80.41,89.37,-28.0372316876011,0,29.85,-414.75
33364,2023-06-25 03:00:30,sor_120,BUY,LTCUSDT,80.41,89.37,27.6772316876011,1,414.75,-29.85
33365,2023-06-25 05:00:12,so_120,BUY,DOTUSDT,5.078,5.134,5.15398188263096,1,71.9,-5.9
33366,2023-06-25 05:00:21,sor_120,SELL,DOTUSDT,5.078,5.134,-5.87398188263096,0,5.9,-71.9
33367,2023-06-25 05:00:30,so_120,BUY,EOSUSDT,0.727,0.742,9.95636863823935,1,165.05,0.0
33368,2023-06-25 05:00:35,sor_120,SELL,EOSUSDT,0.727,0.742,-10.6763686382393,0,0.0,-165.05
33369,2023-06-25 13:00:08,so_120,BUY,SOLUSDT,16.54,17.22,4.84709455864571,1,60.95,0.0
33370,2023-06-25 13:00:12,sor_120,SELL,SOLUSDT,16.54,17.22,-5.01989455864571,0,0.0,-60.95
33371,2023-06-25 15:00:09,so_120,BUY,MKRUSDT,736.0,715.0,-7.31315217391304,0,78.13,-210.6
33372,2023-06-25 15:00:13,sor_120,SELL,MKRUSDT,736.0,715.0,6.95315217391304,1,210.6,-78.13
33373,2023-06-25 21:00:05,so_120,SELL,BTCUSDT,26740.01,30368.62,-170.524562593657,0,40.0,-2176.75
33374,2023-06-25 21:00:08,sor_120,BUY,BTCUSDT,26740.01,30368.62,168.724562593657,1,2176.75,-40.0
33375,2023-06-25 21:00:12,so_120,SELL,EOSUSDT,0.742,0.715,17.8340700808626,1,202.15,-47.15
33376,2023-06-25 21:00:18,sor_120,BUY,EOSUSDT,0.742,0.715,-18.5540700808625,0,47.15,-202.15
33377,2023-06-25 23:00:08,so_120,BUY,XRPUSDT,0.4944,0.4904,-4.4053074433657,0,78.9,-157.75
33378,2023-06-25 23:00:11,sor_120,SELL,XRPUSDT,0.4944,0.4904,3.6853074433657,1,157.75,-78.9
33379,2023-06-25 23:00:16,so_120,SELL,AXSUSDT,5.6,5.88,-12.68,0,75.9,-370.53
33380,2023-06-25 23:00:19,sor_120,BUY,AXSUSDT,5.6,5.88,12.32,1,370.53,-75.9
33381,2023-06-26 03:00:08,so_120,SELL,XRPUSDT,0.4905,0.4838,6.46976554536186,1,79.5,-12.25
33382,2023-06-26 03:00:13,sor_120,BUY,XRPUSDT,0.4905,0.4838,-7.18976554536186,0,12.25,-79.5
33383,2023-06-26 03:00:20,so_120,SELL,SOLUSDT,17.21,16.68,3.60912585705986,1,45.32,-3.49
33384,2023-06-26 03:00:22,sor_120,BUY,SOLUSDT,17.21,16.68,-3.78192585705986,0,3.49,-45.32
33385,2023-06-26 05:00:10,so_120,SELL,MKRUSDT,715.0,688.0,9.26055944055944,1,101.4,-7.0
33386,2023-06-26 05:00:13,sor_120,BUY,MKRUSDT,715.0,688.0,-9.62055944055944,0,7.0,-101.4
33387,2023-06-26 15:00:11,so_120,BUY,EOSUSDT,0.716,0.739,15.7014525139665,1,384.1,-104.75
33388,2023-06-26 15:00:16,sor_120,SELL,EOSUSDT,0.716,0.739,-16.4214525139665,0,104.75,-384.1
33389,2023-06-26 17:00:12,so_120,BUY,BNBUSDT,233.7,234.8,1.9934445870775,1,179.7,0.0
33390,2023-06-26 17:00:16,sor_120,SELL,BNBUSDT,233.7,234.8,-2.7134445870775,0,0.0,-179.7
33391,2023-06-26 19:00:09,so_120,SELL,BNBUSDT,235.1,236.5,-3.33745640153128,0,21.25,-31.9
33392,2023-06-26 19:00:12,sor_120,BUY,BNBUSDT,235.1,236.5,2.61745640153128,1,31.9,-21.25
33393,2023-06-27 01:00:07,so_120,SELL,DOTUSDT,5.136,5.024,10.5434267912773,1,134.35,-105.15
33394,2023-06-27 01:00:11,sor_120,BUY,DOTUSDT,5.136,5.024,-11.2634267912773,0,105.15,-134.35
33395,2023-06-27 03:00:08,so_120,SELL,EOSUSDT,0.739,0.726,8.43566982408661,1,257.1,-47.35
33396,2023-06-27 03:00:11,sor_120,BUY,EOSUSDT,0.739,0.726,-9.15566982408661,0,47.35,-257.1
33397,2023-06-27 11:00:10,so_120,BUY,AXSUSDT,5.88,5.93,1.94585034013605,1,46.78,-127.55
33398,2023-06-27 11:00:15,sor_120,SELL,AXSUSDT,5.88,5.93,-2.30585034013605,0,127.55,-46.78
33399,2023-06-27 13:00:09,so_120,BUY,BTCUSDT,30365.42,30719.0,13.6552078647357,1,169.38,-176.13
33400,2023-06-27 13:00:12,sor_120,SELL,BTCUSDT,30365.42,30719.0,-15.4552078647357,0,176.13,-169.38
33401,2023-06-27 13:00:16,so_120,BUY,BNBUSDT,236.5,239.9,6.82816067653278,1,74.0,-59.2
33402,2023-06-27 13:00:20,sor_120,SELL,BNBUSDT,236.5,239.9,-7.54816067653278,0,59.2,-74.0
33403,2023-06-27 13:00:23,so_120,BUY,LTCUSDT,89.36,89.29,-0.375837063563096,0,29.93,-94.0
33404,2023-06-27 13:00:27,sor_120,SELL,LTCUSDT,89.36,89.29,0.0158370635630964,1,94.0,-29.93
33405,2023-06-27 23:00:08,so_120,BUY,SOLUSDT,16.7,16.67,-0.301968862275432,0,30.18,-53.89
33406,2023-06-27 23:00:11,sor_120,SELL,SOLUSDT,16.7,16.67,0.129168862275432,1,53.89,-30.18
33407,2023-06-28 01:00:07,so_120,BUY,XRPUSDT,0.4837,0.4819,-2.22065743229277,0,39.3,-114.75
33408,2023-06-28 01:00:20,sor_120,SELL,XRPUSDT,0.4837,0.4819,1.50065743229277,1,114.75,-39.3
33409,2023-06-28 05:00:07,so_120,SELL,LTCUSDT,89.24,87.24,5.42286866875841,1,70.6,-4.75
33410,2023-06-28 05:00:12,sor_120,BUY,LTCUSDT,89.24,87.24,-5.78286866875841,0,4.75,-70.6
33411,2023-06-28 05:00:18,so_120,SELL,SOLUSDT,16.68,16.26,2.93518273381294,1,38.84,-1.44
33412,2023-06-28 05:00:23,sor_120,BUY,SOLUSDT,16.68,16.26,-3.10798273381294,0,1.44,-38.84
33413,2023-06-28 07:00:11,so_120,SELL,BNBUSDT,239.9,234.8,10.2694289287203,1,118.8,-18.75
33414,2023-06-28 07:00:14,sor_120,BUY,BNBUSDT,239.9,234.8,-10.9894289287203,0,18.75,-118.8
33415,2023-06-28 11:00:05,so_120,SELL,XRPUSDT,0.4817,0.4758,5.76414365787836,1,103.8,-22.85
33416,2023-06-28 11:00:09,sor_120,BUY,XRPUSDT,0.4817,0.4758,-6.48414365787836,0,22.85,-103.8
33417,2023-06-28 11:00:13,so_120,SELL,AXSUSDT,5.93,5.73,8.25170320404719,1,113.83,-8.43
33418,2023-06-28 11:00:16,sor_120,BUY,AXSUSDT,5.93,5.73,-8.61170320404719,0,8.43,-113.83
33419,2023-06-28 13:00:07,so_120,SELL,BTCUSDT,30719.99,30106.88,24.0475178865618,1,277.88,-109.0
33420,2023-06-28 13:00:10,sor_120,BUY,BTCUSDT,30719.99,30106.88,-25.8475178865618,0,109.0,-277.88
33421,2023-06-29 11:00:11,so_120,BUY,MKRUSDT,688.0,695.0,2.36360465116279,1,72.68,-94.48
33422,2023-06-29 11:00:15,sor_120,SELL,MKRUSDT,688.0,695.0,-2.72360465116279,0,94.48,-72.68
33423,2023-06-29 13:00:17,so_120,BUY,SOLUSDT,16.25,17.92,12.2459076923077,1,149.9,-44.3
33424,2023-06-29 13:00:26,sor_120,SELL,SOLUSDT,16.25,17.92,-12.4187076923077,0,44.3,-149.9
33425,2023-06-29 17:00:08,so_120,BUY,BTCUSDT,30129.24,30502.02,14.565873019034,1,292.38,-107.38
33426,2023-06-29 17:00:12,sor_120,SELL,BTCUSDT,30129.24,30502.02,-16.365873019034,0,107.38,-292.38
