"id","instrument","timeframe","ok_percent","ok_final_percent","avg_diff","avg_candle_size","side","volume","candle_count"
11969,ARKMUSDT,ONE_MINUTE,7.3375263,54.285713,0.0338302,0.27684072,LONG,12593180,477
11970,ARKMUSDT,ONE_MINUTE,56.660038,7.7192984,0.13271488,0.09906006,SHORT,12593180,503
11971,ARKUSDT,ONE_MINUTE,6.9042315,67.741936,0.048180744,0.4953768,LONG,7075002.0,449
11972,ARKUSDT,ONE_MINUTE,54.14847,9.274194,0.20745437,0.15156935,SHORT,7075002.0,458
11973,ARPAUSDT,ONE_MINUTE,7.4712644,46.153847,0.0138074355,0.22458017,LONG,627726.0,348
11974,ARPAUSDT,ONE_MINUTE,83.42857,2.0547945,0.09871524,0.0367529,SHORT,627726.0,350
11975,ARUSDT,ONE_MINUTE,7.444668,72.97298,0.034720898,0.2409698,LONG,25397207,497
11976,ARUSDT,ONE_MINUTE,63.636364,9.090909,0.10513067,0.073893175,SHORT,25397207,484
11977,ASTRUSDT,ONE_MINUTE,6.833713,36.666668,0.02133404,0.2798617,LONG,3922095.0,439
11978,ASTRUSDT,ONE_MINUTE,73.541664,4.815864,0.11334101,0.051332522,SHORT,3922095.0,480
11979,ATAUSDT,ONE_MINUTE,6.3451777,40.0,0.014700319,0.24117297,LONG,822283.0,394
11980,ATAUSDT,ONE_MINUTE,70.48781,5.536332,0.102815256,0.055887002,SHORT,822283.0,410
11981,ATHUSDT,ONE_MINUTE,6.8230276,46.875,0.03852099,0.33975375,LONG,9090104.0,469
11982,ATHUSDT,ONE_MINUTE,50.843884,9.128631,0.14528994,0.12306872,SHORT,9090104.0,474
11983,ATOMUSDT,ONE_MINUTE,7.1759257,61.29032,0.015121873,0.14471921,LONG,13901896,432
11984,ATOMUSDT,ONE_MINUTE,72.134834,5.6074767,0.06622086,0.045241963,SHORT,13901896,445
11985,AUCTIONUSDT,ONE_MINUTE,5.20362,56.52174,0.018130828,0.2668689,LONG,1821316.0,442
11986,AUCTIONUSDT,ONE_MINUTE,60.45977,8.365019,0.10357778,0.063687444,SHORT,1821316.0,435
11987,AUDIOUSDT,ONE_MINUTE,7.4803147,47.36842,0.011504724,0.2522531,LONG,1208569.0,254
11988,AUDIOUSDT,ONE_MINUTE,100.0,5.905512,0.11652819,0.027929556,SHORT,1208569.0,254
11989,AVAXUSDT,ONE_MINUTE,7.048458,43.75,0.021088049,0.17199649,LONG,92300840,454
11990,AVAXUSDT,ONE_MINUTE,69.67593,5.6478405,0.09217299,0.06632304,SHORT,92300840,432
11991,AXLUSDT,ONE_MINUTE,7.2727275,53.125,0.019746186,0.2744003,LONG,3946131.0,440
11992,AXLUSDT,ONE_MINUTE,72.268906,4.9418607,0.11722705,0.062839486,SHORT,3946131.0,476
11993,AXSUSDT,ONE_MINUTE,6.223176,44.827587,0.039667975,0.32629272,LONG,7381390.0,466
11994,AXSUSDT,ONE_MINUTE,57.983192,3.9855072,0.14464058,0.09910588,SHORT,7381390.0,476
11995,BADGERUSDT,ONE_MINUTE,8.529411,41.37931,0.014625743,0.2575406,LONG,820325.0,340
11996,BADGERUSDT,ONE_MINUTE,99.386505,1.2345679,0.107699856,0.030254778,SHORT,820325.0,326
11997,BAKEUSDT,ONE_MINUTE,5.152225,77.27273,0.054956384,0.48893917,LONG,16795656,427
11998,BAKEUSDT,ONE_MINUTE,60.515022,4.964539,0.19525883,0.12867287,SHORT,16795656,466
11999,BALUSDT,ONE_MINUTE,8.441559,26.923077,0.010009639,0.21920538,LONG,504015.0,308
12000,BALUSDT,ONE_MINUTE,100.0,1.3888888,0.09542648,0.018895507,SHORT,504015.0,288
12001,BANDUSDT,ONE_MINUTE,4.6511626,33.333332,0.008176676,0.2603249,LONG,526004.0,258
12002,BANDUSDT,ONE_MINUTE,100.0,2.8688524,0.1269002,0.011173591,SHORT,526004.0,244
