close  ,max_lose,max_profit,number,open   ,profit,result,instrument,side,strategy          ,date
3130.21,-0.3198 ,1.279     ,31370 ,3161.0  ,7.07   ,1     ,ETHUSDT   ,Sell,maxCh_120SlMin    ,2024-04-26 14:42:11.023
3130.21,-1.4773 ,1.279     ,31371 ,3159.5  ,26.53  ,1     ,ETHUSDT   ,Sell,maxCh_m10_sh      ,2024-04-26 14:42:11.497
3130.21,-1.1126 ,1.279     ,31372 ,3161.0  ,26.84  ,1     ,ETHUSDT   ,Sell,maxCh_mSL         ,2024-04-26 14:42:11.915
3130.21,-2.4283 ,1.279     ,31373 ,3161.0  ,26.84  ,1     ,ETHUSDT   ,Sell,maxCh_pSL         ,2024-04-26 14:42:12.228
3130.21,-1.8699 ,1.604     ,31374 ,3161.0  ,31.8   ,1     ,ETHUSDT   ,Sell,maxCh_pTP         ,2024-04-26 14:42:12.642
3138.42,-0.3198 ,2.226     ,31375 ,3161.0  ,7.07   ,1     ,ETHUSDT   ,Sell,maxCh_120         ,2024-04-26 14:49:01.054
3138.42,-2.1436 ,1.078     ,31376 ,3165.25 ,-151.15,1     ,ETHUSDT   ,Sell,maxCh_multi       ,2024-04-26 14:49:02.614
3138.42,-1.7129 ,2.226     ,31377 ,3161.0  ,27.12  ,1     ,ETHUSDT   ,Sell,maxCh_120_m_miniSL,2024-04-26 14:49:03.003
3138.42,-1.8811 ,2.226     ,31378 ,3161.0  ,11.6   ,1     ,ETHUSDT   ,Sell,maxCh_120_p_miniSL,2024-04-26 14:49:03.691
0.8165 ,-1.9548 ,1.763     ,31379 ,0.8136  ,1.88   ,1     ,EOSUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-26 15:01:12.366
6.781  ,-0.059  ,0.7895    ,31380 ,6.785   ,3.4    ,0     ,DOTUSDT   ,Buy ,maxCh_120         ,2024-04-26 15:38:58.433
6.781  ,-0.059  ,0.5312    ,31381 ,6.785   ,2.11   ,0     ,DOTUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-26 15:38:58.720
6.781  ,-0.059  ,1.005     ,31382 ,6.785   ,4.47   ,0     ,DOTUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-26 15:38:58.988
143.31 ,0.0     ,1.182     ,31383 ,142.91  ,4.44   ,1     ,SOLUSDT   ,Buy ,maxCh_120         ,2024-04-26 15:41:35.614
143.31 ,-0.1121 ,1.182     ,31384 ,142.91  ,2.93   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-26 15:41:36.391
143.31 ,0.0     ,0.5005    ,31385 ,142.91  ,2.93   ,1     ,SOLUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-26 15:41:37.511
87.04  ,0.0     ,1.07      ,31386 ,86.83   ,2.89   ,1     ,LTCUSDT   ,Buy ,maxCh_120         ,2024-04-26 15:41:57.291
87.04  ,0.0     ,0.965     ,31387 ,86.83   ,2.89   ,1     ,LTCUSDT   ,Buy ,maxCh_120SlMax    ,2024-04-26 15:41:57.730
87.04  ,0.0     ,0.6422    ,31388 ,86.83   ,2.89   ,1     ,LTCUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-26 15:41:58.500
3121.84,-0.3198 ,1.269     ,31389 ,3161.0  ,6.11   ,1     ,ETHUSDT   ,Sell,maxCh_120SlMax    ,2024-04-26 15:45:06.745
3117.07,-1.4773 ,1.279     ,31390 ,3103.75 ,8.17   ,1     ,ETHUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-26 16:06:06.784
86.46  ,-1.8006 ,1.346     ,31391 ,87.64   ,-54.57 ,1     ,LTCUSDT   ,Sell,maxCh_m10_sh      ,2024-04-26 16:08:40.551
86.46  ,0.0     ,1.346     ,31392 ,87.64   ,3.27   ,1     ,LTCUSDT   ,Sell,maxCh_p10_sh      ,2024-04-26 16:08:40.930
86.46  ,0.0     ,1.346     ,31393 ,87.64   ,2.66   ,1     ,LTCUSDT   ,Sell,maxCh_mSL         ,2024-04-26 16:08:41.240
86.46  ,0.0     ,1.346     ,31394 ,87.64   ,2.66   ,1     ,LTCUSDT   ,Sell,maxCh_pSL         ,2024-04-26 16:08:41.581
86.46  ,0.0     ,1.346     ,31395 ,87.64   ,2.66   ,1     ,LTCUSDT   ,Sell,maxCh_mTP         ,2024-04-26 16:08:41.980
86.6   ,0.0     ,1.325     ,31396 ,87.5    ,6.85   ,1     ,LTCUSDT   ,Sell,maxCh_120_m_miniSL,2024-04-26 16:11:09.569
86.6   ,0.0     ,1.176     ,31397 ,87.62   ,2.6    ,1     ,LTCUSDT   ,Sell,maxCh_120_p_miniSL,2024-04-26 16:11:09.945
3120.74,-0.3198 ,1.279     ,31398 ,3104.75 ,8.64   ,1     ,ETHUSDT   ,Buy ,maxCh_120SlMin    ,2024-04-26 16:59:15.757
3120.74,-1.4773 ,1.279     ,31399 ,3104.75 ,3.19   ,1     ,ETHUSDT   ,Buy ,maxCh_m10_sh      ,2024-04-26 16:59:17.048
3120.74,-1.1126 ,1.279     ,31400 ,3104.75 ,8.64   ,1     ,ETHUSDT   ,Buy ,maxCh_mSL         ,2024-04-26 16:59:17.550
3120.74,-2.4283 ,1.279     ,31401 ,3104.75 ,8.64   ,1     ,ETHUSDT   ,Buy ,maxCh_pSL         ,2024-04-26 16:59:17.794
3130.22,-1.8699 ,1.604     ,31402 ,3104.75 ,8.64   ,1     ,ETHUSDT   ,Buy ,maxCh_pTP         ,2024-04-26 17:41:22.800
